net,length_um
bgc_4.lfsr_col.seed_mem\[5\],89.85
clknet_leaf_149_clk,89.85
clknet_leaf_69_clk,89.75
clknet_leaf_130_clk,89.75
bgc_0.comp_row.B\[4\],89.7
bgc_7.lfsr_col.seed_mem\[4\],89.7
bgc_3.lfsr_col.seed_mem\[8\],89.65
clknet_leaf_22_clk,89.29
clknet_leaf_128_clk,89.24
bgc_13.col_reg.q\[9\],89.14
clknet_leaf_13_clk,89.14
bgc_0.col_reg.q\[6\],88.58
bgc_0.lfsr_col.seed_mem\[0\],88.53
bgc_7.lfsr_col.seed_mem\[7\],88.53
clknet_leaf_4_clk,88.53
bgc_15.comp_row.B\[11\],88.25
bgc_5.lfsr_col.seed_mem\[8\],88.07
adder_tree._0357_,88.02
bgc_10.lfsr_row.seed_mem\[4\],88.02
bgc_10.lfsr_row.seed_mem\[6\],88.02
bgc_6.lfsr_row.seed_mem\[4\],87.92
adder_tree.r\[1\]\[11\],87.56
bgc_11.lfsr_row.seed_mem\[4\],87.51
bgc_1.lfsr_col.seed_mem\[10\],87.46
bgc_14.col_reg.q\[2\],87.46
bgc_3.lfsr_row.seed_mem\[2\],87.46
bgc_8.lfsr_row.seed_mem\[0\],87.46
bgc_0.lfsr_row.seed_mem\[1\],87.41
bgc_11.comp_row.x,87.41
bgc_13._02_,87.41
bgc_15.col_reg.q\[5\],87.41
bgc_0.final_counter._16_,87.05
bgc_7.comp_row.B\[11\],87
bgc_1.lfsr_row.seed_mem\[8\],86.9
bgc_14.lfsr_row.seed_mem\[6\],86.9
bgc_4.lfsr_col.seed_mem\[0\],86.9
bgc_0.lfsr_row.seed_mem\[3\],86.85
bgc_8.lfsr_row.seed_mem\[5\],86.85
bgc_9.final_counter._16_,86.34
bgc_9.lfsr_col.seed_mem\[0\],86.34
bgc_5.lfsr_col.seed_mem\[6\],85.83
res_mem_inst._015_,85.83
bgc_1.comp_row.B\[2\],85.78
bgc_1.final_counter._09_,85.78
bgc_10.lfsr_col.seed_mem\[3\],85.73
clknet_leaf_102_clk,85.32
clknet_leaf_182_clk,85.32
adder_tree.r\[12\]\[8\],85.27
bgc_1.lfsr_row.seed_mem\[0\],85.22
bgc_4.lfsr_row.seed_mem\[6\],85.22
clknet_leaf_108_clk,85.22
bgc_2.col_reg.q\[2\],85.17
bgc_7.col_reg.mode\[0\],85.17
adder_tree.r\[2\]\[0\],84.71
bgc_0.lfsr_col.seed_mem\[4\],84.71
bgc_12.comp_row.B\[11\],84.66
bgc_1.prev_step_output\[0\],84.61
bgc_12.lfsr_col.seed_mem\[7\],84.61
bgc_13.comp_row.B\[6\],84.61
bgc_6.lfsr_col.seed_mem\[10\],84.61
adder_tree.r\[4\]\[7\],84.2
bgc_12.comp_row.B\[4\],84.1
bgc_15.lfsr_col.seed_mem\[2\],84.1
bgc_6.lfsr_col.seed_mem\[4\],84.1
res_mem_inst._042_,84.05
bgc_10.prev_step_output\[3\],84
bgc_14.comp_row.B\[5\],84
clknet_leaf_153_clk,83.64
bgc_0.col_reg.q\[5\],83.59
bgc_3.lfsr_col.seed_mem\[5\],83.59
res_mem_inst.slot\[12\].slot_reg.mode\[1\],83.59
clknet_leaf_73_clk,83.59
bgc_1.lfsr_row.seed_mem\[7\],83.54
bgc_12.lfsr_row.seed_mem\[3\],83.54
clknet_leaf_151_clk,83.54
bgc_7.lfsr_col.seed_mem\[9\],83.49
clknet_leaf_156_clk,83.49
adder_tree.r\[2\]\[6\],83.08
bgc_11.comp_row.B\[6\],83.08
adder_tree.r\[10\]\[1\],83.03
bgc_0.lfsr_row.seed_mem\[4\],83.03
bgc_14.lfsr_col.seed_mem\[2\],83.03
bgc_9.comp_row.B\[6\],83.03
