Instance name,  X location,  Y location,  Voltage 
FILLER_0_13_1951, 1096.56, 58.8, -0.0331644
FILLER_0_14_1951, 1096.56, 58.8, -0.0331644
FILLER_0_14_1954, 1096.56, 58.8, -0.0331644
TAP_659, 1096.56, 50.96, -0.0336163
FILLER_0_10_1947, 1096.56, 50.96, -0.0336163
FILLER_0_11_1951, 1096.56, 50.96, -0.0336163
FILLER_0_12_1951, 1096.56, 50.96, -0.0336163
FILLER_0_12_1954, 1096.56, 50.96, -0.0336163
TAP_604, 1096.56, 43.12, -0.0336739
FILLER_0_8_1947, 1096.56, 43.12, -0.0336739
FILLER_0_9_1951, 1096.56, 43.12, -0.0336739
FILLER_0_10_1951, 1096.56, 43.12, -0.0336739
FILLER_0_10_1954, 1096.56, 43.12, -0.0336739
TAP_549, 1096.56, 35.28, -0.0339803
FILLER_0_6_1947, 1096.56, 35.28, -0.0339803
FILLER_0_7_1951, 1096.56, 35.28, -0.0339803
FILLER_0_8_1951, 1096.56, 35.28, -0.0339803
FILLER_0_8_1954, 1096.56, 35.28, -0.0339803
TAP_494, 1096.56, 27.44, -0.0341182
FILLER_0_4_1947, 1096.56, 27.44, -0.0341182
FILLER_0_5_1951, 1096.56, 27.44, -0.0341182
FILLER_0_6_1951, 1096.56, 27.44, -0.0341182
FILLER_0_6_1954, 1096.56, 27.44, -0.0341182
TAP_439, 1096.56, 19.6, -0.0341006
FILLER_0_2_1947, 1096.56, 19.6, -0.0341006
FILLER_0_3_1951, 1096.56, 19.6, -0.0341006
FILLER_0_4_1951, 1096.56, 19.6, -0.0341006
FILLER_0_4_1954, 1096.56, 19.6, -0.0341006
TAP_384, 1096.56, 11.76, -0.0341463
FILLER_0_1_1951, 1096.56, 11.76, -0.0341463
FILLER_0_2_1951, 1096.56, 11.76, -0.0341463
FILLER_0_2_1954, 1096.56, 11.76, -0.0341463
input3, 942.96, 544.88, -0.0308391
FILLER_0_136_1665, 942.96, 544.88, -0.0308391
FILLER_0_136_1673, 942.96, 544.88, -0.0308391
TAP_4010, 942.96, 537.04, -0.0313649
TAP_4089, 942.96, 537.04, -0.0313649
FILLER_0_134_1663, 942.96, 537.04, -0.0313649
FILLER_0_134_1667, 942.96, 537.04, -0.0313649
FILLER_0_134_1670, 942.96, 537.04, -0.0313649
FILLER_0_136_1677, 942.96, 537.04, -0.0313649
FILLER_0_136_1679, 942.96, 537.04, -0.0313649
FILLER_0_136_1682, 942.96, 537.04, -0.0313649
TAP_3955, 942.96, 529.2, -0.0311853
FILLER_0_132_1664, 942.96, 529.2, -0.0311853
FILLER_0_132_1670, 942.96, 529.2, -0.0311853
TAP_3900, 942.96, 521.36, -0.0312385
FILLER_0_130_1660, 942.96, 521.36, -0.0312385
FILLER_0_130_1670, 942.96, 521.36, -0.0312385
core.res_mem_inst._062_, 942.96, 513.52, -0.0319619
TAP_3845, 942.96, 513.52, -0.0319619
FILLER_0_128_1664, 942.96, 513.52, -0.0319619
FILLER_0_128_1670, 942.96, 513.52, -0.0319619
FILLER_0_129_1687, 942.96, 513.52, -0.0319619
core.res_mem_inst._060_, 942.96, 505.68, -0.0321923
TAP_3790, 942.96, 505.68, -0.0321923
clkbuf_leaf_103_clk, 942.96, 505.68, -0.0321923
ANTENNA_core.res_mem_inst._060__I, 942.96, 505.68, -0.0321923
ANTENNA_clkbuf_leaf_103_clk_I, 942.96, 505.68, -0.0321923
FILLER_0_126_1665, 942.96, 505.68, -0.0321923
FILLER_0_126_1667, 942.96, 505.68, -0.0321923
FILLER_0_127_1661, 942.96, 505.68, -0.0321923
FILLER_0_127_1665, 942.96, 505.68, -0.0321923
FILLER_0_127_1667, 942.96, 505.68, -0.0321923
FILLER_0_127_1670, 942.96, 505.68, -0.0321923
core.res_mem_inst._132_, 942.96, 497.84, -0.0319802
TAP_3735, 942.96, 497.84, -0.0319802
FILLER_0_124_1670, 942.96, 497.84, -0.0319802
FILLER_0_125_1685, 942.96, 497.84, -0.0319802
TAP_3680, 942.96, 490, -0.0316321
ANTENNA_core.res_mem_inst._150__RN, 942.96, 490, -0.0316321
FILLER_0_122_1663, 942.96, 490, -0.0316321
FILLER_0_122_1667, 942.96, 490, -0.0316321
FILLER_0_122_1670, 942.96, 490, -0.0316321
FILLER_0_123_1686, 942.96, 490, -0.0316321
TAP_3625, 942.96, 482.16, -0.0319219
FILLER_0_120_1667, 942.96, 482.16, -0.0319219
FILLER_0_120_1670, 942.96, 482.16, -0.0319219
FILLER_0_121_1678, 942.96, 482.16, -0.0319219
TAP_3570, 942.96, 474.32, -0.0329499
FILLER_0_118_1667, 942.96, 474.32, -0.0329499
FILLER_0_118_1670, 942.96, 474.32, -0.0329499
