seed_index,seed_hex,B=512_count,B=512_expected,B=512_abs_error,B=1024_count,B=1024_expected,B=1024_abs_error,B=1536_count,B=1536_expected,B=1536_abs_error,B=2048_count,B=2048_expected,B=2048_abs_error,B=2560_count,B=2560_expected,B=2560_abs_error,B=3072_count,B=3072_expected,B=3072_abs_error,B=3584_count,B=3584_expected,B=3584_abs_error,mean_abs_error,mean_rel_error_pct
109,0x8ae,101,62.6221,38.3779,162,125.122,36.8779,220,187.622,32.3779,274,250.122,23.8779,335,312.622,22.3779,386,375.122,10.8779,438,437.622,0.37793,23.5922,18.2438
110,0xd65,58,62.6221,4.62207,118,125.122,7.12207,178,187.622,9.62207,243,250.122,7.12207,304,312.622,8.62207,369,375.122,6.12207,435,437.622,2.62207,6.55064,3.71972
111,0xbd2,74,62.6221,11.3779,135,125.122,9.87793,197,187.622,9.37793,256,250.122,5.87793,316,312.622,3.37793,377,375.122,1.87793,436,437.622,1.62207,6.19852,5.05199
112,0x9e7,57,62.6221,5.62207,123,125.122,2.12207,187,187.622,0.62207,247,250.122,3.12207,313,312.622,0.37793,372,375.122,3.12207,432,437.622,5.62207,2.94434,2.0702
113,0x204,58,62.6221,4.62207,123,125.122,2.12207,188,187.622,0.37793,252,250.122,1.87793,316,312.622,3.37793,380,375.122,4.87793,443,437.622,5.37793,3.2334,1.94841
114,0xd6b,48,62.6221,14.6221,108,125.122,17.1221,170,187.622,17.6221,236,250.122,14.1221,297,312.622,15.6221,365,375.122,10.1221,432,437.622,5.62207,13.5506,8.72179
115,0x214,61,62.6221,1.62207,126,125.122,0.87793,188,187.622,0.37793,249,250.122,1.12207,313,312.622,0.37793,372,375.122,3.12207,433,437.622,4.62207,1.73172,0.850186
116,0x1de,64,62.6221,1.37793,127,125.122,1.87793,188,187.622,0.37793,250,250.122,0.12207,312,312.622,0.62207,373,375.122,2.12207,435,437.622,2.62207,1.30315,0.759336
117,0xc3e,40,62.6221,22.6221,102,125.122,23.1221,163,187.622,24.6221,233,250.122,17.1221,295,312.622,17.6221,364,375.122,11.1221,434,437.622,3.62207,17.1221,12.0004
118,0xcd5,61,62.6221,1.62207,126,125.122,0.87793,190,187.622,2.37793,252,250.122,1.87793,317,312.622,4.37793,379,375.122,3.87793,442,437.622,4.37793,2.76995,1.24924
119,0x715,43,62.6221,19.6221,105,125.122,20.1221,167,187.622,20.6221,237,250.122,13.1221,299,312.622,13.6221,369,375.122,6.12207,439,437.622,1.37793,13.5158,9.99398
