Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
641,12'h281,0.5000,1
642,12'h282,0.7500,1
643,12'h283,0.2500,1
644,12'h284,0.8750,1
645,12'h285,0.3750,1
646,12'h286,0.6250,1
647,12'h287,0.1250,1
648,12'h288,0.9375,1
649,12'h289,0.4062,1
650,12'h28A,0.6875,1
651,12'h28B,0.1875,1
652,12'h28C,0.8125,1
653,12'h28D,0.3125,1
654,12'h28E,0.5625,1
655,12'h28F,0.0625,1
656,12'h290,0.9688,1
657,12'h291,0.4688,1
658,12'h292,0.7188,1
659,12'h293,0.2188,1
660,12'h294,0.8438,1
661,12'h295,0.3438,1
662,12'h296,0.5625,1
663,12'h297,0.0938,1
664,12'h298,0.9062,1
665,12'h299,0.4062,1
666,12'h29A,0.6562,1
667,12'h29B,0.1562,1
668,12'h29C,0.7812,1
669,12'h29D,0.2812,1
670,12'h29E,0.5312,1
671,12'h29F,0.0312,1
672,12'h2A0,1.0000,1
673,12'h2A1,0.4688,1
674,12'h2A2,0.7500,1
675,12'h2A3,0.2188,1
676,12'h2A4,0.8438,1
677,12'h2A5,0.3438,1
678,12'h2A6,0.5938,1
679,12'h2A7,0.0938,1
680,12'h2A8,0.9062,1
681,12'h2A9,0.4062,1
682,12'h2AA,0.6875,1
683,12'h2AB,0.1875,1
684,12'h2AC,0.7812,1
685,12'h2AD,0.3125,1
686,12'h2AE,0.5625,1
687,12'h2AF,0.0312,1
688,12'h2B0,0.9375,1
689,12'h2B1,0.4375,1
690,12'h2B2,0.6875,1
691,12'h2B3,0.1875,1
692,12'h2B4,0.8438,1
693,12'h2B5,0.3125,1
694,12'h2B6,0.5625,1
695,12'h2B7,0.0938,1
696,12'h2B8,0.9062,1
697,12'h2B9,0.4062,1
698,12'h2BA,0.6562,1
699,12'h2BB,0.1562,1
700,12'h2BC,0.7500,1
701,12'h2BD,0.2500,1
702,12'h2BE,0.5000,1
703,12'h2BF,0.0000,0
704,12'h2C0,1.0000,1
705,12'h2C1,0.5000,1
706,12'h2C2,0.7500,1
707,12'h2C3,0.2188,1
708,12'h2C4,0.8438,1
709,12'h2C5,0.3750,1
710,12'h2C6,0.5938,1
711,12'h2C7,0.1250,1
712,12'h2C8,0.9375,1
713,12'h2C9,0.4062,1
714,12'h2CA,0.6875,1
715,12'h2CB,0.1875,1
716,12'h2CC,0.7812,1
717,12'h2CD,0.3125,1
718,12'h2CE,0.5625,1
719,12'h2CF,0.0625,1
720,12'h2D0,0.9375,1
721,12'h2D1,0.4688,1
722,12'h2D2,0.7188,1
723,12'h2D3,0.2188,1
724,12'h2D4,0.8438,1
725,12'h2D5,0.3438,1
726,12'h2D6,0.5625,1
727,12'h2D7,0.0938,1
728,12'h2D8,0.9062,1
729,12'h2D9,0.4062,1
730,12'h2DA,0.6562,1
731,12'h2DB,0.1562,1
732,12'h2DC,0.7812,1
733,12'h2DD,0.2812,1
734,12'h2DE,0.5000,1
735,12'h2DF,0.0312,1
736,12'h2E0,0.9688,1
737,12'h2E1,0.4688,1
738,12'h2E2,0.7188,1
739,12'h2E3,0.2188,1
740,12'h2E4,0.8438,1
741,12'h2E5,0.3438,1
742,12'h2E6,0.5938,1
743,12'h2E7,0.0938,1
744,12'h2E8,0.9062,1
745,12'h2E9,0.4062,1
746,12'h2EA,0.6875,1
747,12'h2EB,0.1562,1
748,12'h2EC,0.7812,1
749,12'h2ED,0.2812,1
750,12'h2EE,0.5312,1
751,12'h2EF,0.0312,1
752,12'h2F0,0.9375,1
753,12'h2F1,0.4375,1
754,12'h2F2,0.6875,1
755,12'h2F3,0.1875,1
756,12'h2F4,0.8125,1
757,12'h2F5,0.3125,1
758,12'h2F6,0.5625,1
759,12'h2F7,0.0625,1
760,12'h2F8,0.9062,1
761,12'h2F9,0.4062,1
762,12'h2FA,0.6250,1
763,12'h2FB,0.1250,1
764,12'h2FC,0.7500,1
765,12'h2FD,0.2500,1
766,12'h2FE,0.5000,1
767,12'h2FF,0.0000,0
768,12'h300,1.0000,1
769,12'h301,0.5000,1
770,12'h302,0.7500,1
771,12'h303,0.2500,1
772,12'h304,0.8750,1
773,12'h305,0.3750,1
774,12'h306,0.6250,1
775,12'h307,0.1250,1
776,12'h308,0.9375,1
777,12'h309,0.4375,1
778,12'h30A,0.6875,1
779,12'h30B,0.1875,1
780,12'h30C,0.8125,1
781,12'h30D,0.3125,1
782,12'h30E,0.5625,1
783,12'h30F,0.0625,1
784,12'h310,0.9688,1
785,12'h311,0.4688,1
786,12'h312,0.7188,1
787,12'h313,0.2188,1
788,12'h314,0.8438,1
789,12'h315,0.3438,1
790,12'h316,0.5625,1
791,12'h317,0.0938,1
792,12'h318,0.9062,1
793,12'h319,0.4062,1
794,12'h31A,0.6562,1
795,12'h31B,0.1562,1
796,12'h31C,0.7812,1
797,12'h31D,0.2812,1
798,12'h31E,0.5312,1
799,12'h31F,0.0312,1
800,12'h320,1.0000,1
801,12'h321,0.5000,1
802,12'h322,0.7500,1
803,12'h323,0.2188,1
804,12'h324,0.8438,1
805,12'h325,0.3438,1
806,12'h326,0.5938,1
807,12'h327,0.1250,1
808,12'h328,0.9062,1
809,12'h329,0.4062,1
810,12'h32A,0.6875,1
811,12'h32B,0.1875,1
812,12'h32C,0.7812,1
813,12'h32D,0.3125,1
814,12'h32E,0.5625,1
815,12'h32F,0.0312,1
816,12'h330,0.9375,1
817,12'h331,0.4375,1
818,12'h332,0.6875,1
819,12'h333,0.1875,1
820,12'h334,0.8438,1
821,12'h335,0.3438,1
822,12'h336,0.5625,1
823,12'h337,0.0938,1
824,12'h338,0.9062,1
825,12'h339,0.4062,1
826,12'h33A,0.6562,1
827,12'h33B,0.1562,1
828,12'h33C,0.7812,1
829,12'h33D,0.2500,1
830,12'h33E,0.5000,1
831,12'h33F,0.0000,0
832,12'h340,1.0000,1
833,12'h341,0.5000,1
834,12'h342,0.7500,1
835,12'h343,0.2500,1
836,12'h344,0.8438,1
837,12'h345,0.3750,1
838,12'h346,0.5938,1
839,12'h347,0.1250,1
840,12'h348,0.9375,1
841,12'h349,0.4062,1
842,12'h34A,0.6875,1
843,12'h34B,0.1875,1
844,12'h34C,0.7812,1
845,12'h34D,0.3125,1
846,12'h34E,0.5625,1
847,12'h34F,0.0625,1
848,12'h350,0.9688,1
849,12'h351,0.4688,1
850,12'h352,0.7188,1
851,12'h353,0.2188,1
852,12'h354,0.8438,1
853,12'h355,0.3438,1
854,12'h356,0.5625,1
855,12'h357,0.0938,1
856,12'h358,0.9062,1
857,12'h359,0.4062,1
858,12'h35A,0.6562,1
859,12'h35B,0.1562,1
860,12'h35C,0.7812,1
861,12'h35D,0.2812,1
862,12'h35E,0.5000,1
863,12'h35F,0.0312,1
864,12'h360,0.9688,1
865,12'h361,0.4688,1
866,12'h362,0.7188,1
867,12'h363,0.2188,1
868,12'h364,0.8438,1
869,12'h365,0.3438,1
870,12'h366,0.5938,1
871,12'h367,0.0938,1
872,12'h368,0.9062,1
873,12'h369,0.4062,1
874,12'h36A,0.6875,1
875,12'h36B,0.1562,1
876,12'h36C,0.7812,1
877,12'h36D,0.2812,1
878,12'h36E,0.5312,1
879,12'h36F,0.0312,1
880,12'h370,0.9375,1
881,12'h371,0.4375,1
882,12'h372,0.6875,1
883,12'h373,0.1875,1
884,12'h374,0.8125,1
885,12'h375,0.3125,1
886,12'h376,0.5625,1
887,12'h377,0.0625,1
888,12'h378,0.9062,1
889,12'h379,0.4062,1
890,12'h37A,0.6250,1
891,12'h37B,0.1250,1
892,12'h37C,0.7500,1
893,12'h37D,0.2500,1
894,12'h37E,0.5000,1
895,12'h37F,0.0000,0
896,12'h380,1.0000,1
897,12'h381,0.5000,1
898,12'h382,0.7500,1
899,12'h383,0.2500,1
